"Timestamp","How far do you commute to school?","Do you have experience with online classes?","Do you have easy access to the internet?","Are you the owner of the computer you use for school?","Do you easily get distracted at home?","Are you taking a lab?","In general, do you prefer labs online or in-person? ","Do you prefer in-person or online learning?"
"2021/10/16 8:46:47 PM MDT","20-40 miles","Yes","Yes","Yes","No","No","In-person","Online"
"2021/10/16 8:48:17 PM MDT","40-60 miles","Yes","No","Yes","Yes","Yes","Online","Online"
"2021/10/16 8:55:25 PM MDT","0-20 miles","Yes","Yes","Yes","No","Yes","In-person","In-person"
"2021/10/16 9:04:27 PM MDT","0-20 miles","Yes","Yes","Yes","Yes","Yes","In-person","Online"
"2021/10/16 9:11:58 PM MDT","0-20 miles","Yes","Yes","Yes","Yes","No","In-person","In-person"
"2021/10/16 11:10:28 PM MDT","40-60 miles","Yes","Yes","Yes","Yes","No","In-person","In-person"
"2021/10/16 11:20:58 PM MDT","0-20 miles","Yes","Yes","Yes","Yes","Yes","In-person","In-person"
"2021/10/17 1:11:38 AM MDT","0-20 miles","Yes","Yes","Yes","Yes","Yes","In-person","In-person"
"2021/10/17 2:12:10 AM MDT","0-20 miles","Yes","Yes","Yes","Yes","No","In-person","In-person"
"2021/10/17 5:56:09 AM MDT","0-20 miles","Yes","Yes","Yes","No","No","Online","Online"
"2021/10/17 10:55:43 AM MDT","0-20 miles","Yes","Yes","Yes","No","Yes","In-person","Online"
